"Aberdeen, SD (Aberdeen Regional, ABR) - This airport’s runway was once used as a backup landing site for NASA’s X-15 rocket plane experiments in the 1960s."
"Christiansted, VI (Henry E. Rohlsen, STX) - It’s on St. Croix, where planes once refueled for Lindbergh’s transatlantic scouting trips."
"Cincinnati, OH (Cincinnati/Northern Kentucky International, CVG) - Its code “CVG” reflects Covington, KY, the nearest big town when it opened."
"Clarksburg, WV (North Central West Virginia, CKB) - It’s near the birthplace of Stonewall Jackson, and the terminal has a Civil War exhibit."
"Cleveland, OH (Cleveland Hopkins International, CLE) - It was the first U.S. airport with a control tower, built in 1925."
"Cody, WY (Yellowstone Regional, COD) - The runway offers views of the Bighorn Mountains, and buffalo sometimes wander nearby."
"College Station, TX (Easterwood, CLL) - Owned by Texas A&M, it’s where student pilots train alongside Aggie football flyovers."
"Colorado Springs, CO (Colorado Springs, COS) - Pikes Peak looms so close, pilots use it as a visual landmark on clear days."
"Columbia, MO (Columbia Regional, COU) - Its terminal has a tiger statue, a tribute to the University of Missouri’s mascot."
"Columbia, SC (Columbia Metropolitan, CAE) - The runway was built over a former Confederate fort, unearthed during construction."
"Columbus, GA (Columbus, CSG) - It’s near the Chattahoochee River, where cargo planes once hauled cotton in the 1930s."
"Columbus, OH (John Glenn Columbus International, CMH) - Named after the astronaut, it has a space-themed art installation."
"Columbus, MS (Golden Triangle Regional, GTR) - Its three-runway layout mimics a triangle, a rarity among small airports."
"Concord, NC (Concord-Padgett Regional, JQF) - NASCAR teams use it as a pit stop, with private jets galore during race weeks."
"Corpus Christi, TX (Corpus Christi International, CRP) - Fishermen sometimes spot shrimp boats from planes landing near the Gulf."
"Crescent City, CA (Del Norte County, CEC) - Near redwood forests, its runway was carved out of a WWII-era logging camp."
"Dallas, TX (Dallas Love Field, DAL) - It’s where Southwest Airlines was born, and its terminal has a heart-shaped logo tribute."
"Dallas, TX (Dallas/Fort Worth International, DFW) - At 17,000 acres, it’s got more land than some Texas ranches."
"Dayton, OH (Dayton International, DAY) - The Wright Brothers tested gliders nearby, and the airport has a replica in its lobby."
"Daytona Beach, FL (Daytona Beach International, DAB) - It’s steps from the speedway, and race fans clog it during NASCAR events."
"Denver, CO (Denver International, DEN) - Its blue mustang statue, “Blucifer,” has glowing red eyes that spook late-night travelers."
"Des Moines, IA (Des Moines International, DSM) - Its terminal has a corn-themed mosaic, celebrating Iowa’s farming roots."
"Destin, FL (Destin-Fort Walton Beach, VPS) - Built on an old Air Force base, it’s where pilots trained for Doolittle’s Tokyo raid."
"Detroit, MI (Detroit Metropolitan, DTW) - The terminal’s fountain dances to music, a rare airport water show."
"Devils Lake, ND (Devils Lake Regional, DVL) - It’s near a lake so big, early pilots used it as a navigation marker."
"Dickinson, ND (Dickinson-Theodore Roosevelt Regional, DIK) - Named after Teddy, it’s near where he hunted bison in the 1880s."
"Dillingham, AK (Dillingham, DLG) - Bush planes here double as taxis, ferrying locals to remote fishing villages."
"Dothan, AL (Dothan Regional, DHN) - It’s the “Peanut Capital” airport, with nut-themed snacks in the gift shop."
"Dubois, ID (Dubois-Jefferson County, DUJ) - Its runway is so short, only tiny planes can land—perfect for Idaho’s rugged terrain."
"Dubuque, IA (Dubuque Regional, DBQ) - The terminal overlooks the Mississippi, where steamboats once raced past."
"Duluth, MN (Duluth International, DLH) - Lake Superior’s fog can ground planes, earning it the nickname “Mystery Airport.”"
"Durango, CO (Durango-La Plata County, DRO) - Its mesa-top runway gives pilots a rollercoaster-like drop-off view."
"Eagle, CO (Eagle County Regional, EGE) - Skiers flock here for Vail, and the runway’s surrounded by snowy peaks."
"Eau Claire, WI (Chippewa Valley Regional, EAU) - It’s near the Chippewa River, where lumberjacks once floated logs."
"El Paso, TX (El Paso International, ELP) - Its terminal has a mural of the Franklin Mountains, visible from the runway."
"Elmira, NY (Elmira/Corning Regional, ELM) - Mark Twain wrote Huck Finn nearby, and the airport has a literary gift shop."
"Enid, OK (Enid Woodring Regional, WDG) - It’s near a salt plain so flat, early pilots used it as an emergency runway."
"Erie, PA (Erie International, ERI) - Named after Tom Ridge, it’s got a Lake Erie view that stuns on approach."
"Eugene, OR (Eugene, EUG) - Its runway cuts through a forest, and deer sometimes dash across during dawn flights."
"Evansville, IN (Evansville Regional, EVV) - The terminal has a riverboat model, tying it to Ohio River history."
"Everett, WA (Paine Field, PAE) - Boeing builds 787s next door, and you can watch them roll out from the terminal."
"Fargo, ND (Hector International, FAR) - Named after a local pilot, it’s got a Viking statue for the region’s heritage."
"Fayetteville, AR (Northwest Arkansas National, XNA) - Its odd code “XNA” stands for “X”tra Northwest Arkansas."
"Fayetteville, NC (Fayetteville Regional, FAY) - Near Fort Bragg, it’s a hotspot for military charters. "
"Flagstaff, AZ (Flagstaff Pulliam, FLG) - The runway’s at 7,000 feet elevation, testing pilots with thin air."
"Flint, MI (Bishop International, FNT) - Named after a local car dealer, its terminal has a vintage Chevy display from Flint’s auto heyday."
"Florence, SC (Florence Regional, FLO) - The runway was a WWII training strip for pilots who later flew in the Pacific."
"Fort Lauderdale, FL (Fort Lauderdale-Hollywood International, FLL) - Its runway expansion went over a road, so planes now taxi above traffic."
"Fort Myers, FL (Southwest Florida International, RSW) - The “RSW” code honors Robert S. Weise, a local who pushed for the airport."
"Fort Smith, AR (Fort Smith Regional, FSM) - It’s near the site where Elvis Presley once landed for a 1950s concert."
"Fort Wayne, IN (Fort Wayne International, FWA) - Its terminal has a model of a WWI fighter, built by local aviation pioneers."
"Fresno, CA (Fresno Yosemite International, FAT) - The “FAT” code is from its old name, Fresno Air Terminal, not a weight joke."
"Gainesville, FL (Gainesville Regional, GNV) - Gator fans pack it during football season, and the gift shop sells UF swamp gear."
"Garden City, KS (Garden City Regional, GCK) - Its runway was a WWII bomber training site, with old hangars still standing."
"Gillette, WY (Gillette-Campbell County, GCC) - Near Devil’s Tower, it’s a pit stop for UFO hunters and climbers."
"Glendive, MT (Dawson Community, GDV) - Tiny but mighty, it’s near the Badlands where dinosaurs once roamed."
"Grand Forks, ND (Grand Forks International, GFK) - Its “international” status comes from rare Canada flights, not a busy border."
"Grand Island, NE (Central Nebraska Regional, GRI) - It’s got a Pony Express mural, tying it to the region’s mail route past."
"Grand Junction, CO (Grand Junction Regional, GJT) - The runway’s flanked by mesas, giving pilots a Wild West vibe."
"Grand Rapids, MI (Gerald R. Ford International, GRR) - Named after the president, it has a mini museum with Ford’s childhood toys."
"Great Falls, MT (Great Falls International, GTF) - Lewis and Clark camped nearby, and the terminal has an expedition display."
"Green Bay, WI (Green Bay Austin Straubel International, GRB) - Packers fans flood it on game days, and the runway’s near Lambeau Field."
"Greensboro, NC (Piedmont Triad International, GSO) - Its code “GSO” reflects Greensboro, part of the Triad with Winston-Salem and High Point."
"Greenville, MS (Greenville Mid-Delta, GLH) - It’s in the Delta blues heartland, and the terminal plays B.B. King tunes."
"Greenville, SC (Greenville-Spartanburg International, GSP) - BMW test-drives cars near the runway, a nod to its local factory."
"Greer, SC (Greenville Downtown, GMU) - A smaller strip, it’s where stunt pilots practice for airshows."
"Gulfport, MS (Gulfport-Biloxi International, GPT) - Post-Hurricane Katrina, its terminal was rebuilt with storm-proof glass."
"Gunnison, CO (Gunnison-Crested Butte Regional, GUC) - Skiers use it for Crested Butte, and the runway’s at a lung-busting 7,680 feet."
"Hagerstown, MD (Hagerstown Regional, HGR) - It’s near Antietam, and Civil War buffs land here for battlefield tours."
"Hancock, MI (Houghton County Memorial, CMX) - Snowplows work overtime here, clearing runways in the snowy Upper Peninsula."
"Harlingen, TX (Valley International, HRL) - It’s where mariachi bands sometimes greet spring breakers headed to South Padre."
"Harrisburg, PA (Harrisburg International, MDT) - Its code “MDT” stands for Middletown, the nearby town it serves."
"Harrison, AR (Boone County, HRO) - Ozark pilots use its short runway to practice tricky hill landings."
"Hartford, CT (Bradley International, BDL) - Named after a WWII pilot, it’s got a wind turbine powering part of the terminal."
"Hattiesburg, MS (Hattiesburg-Laurel Regional, PIB) - It’s near a forest so thick, early pilots called it “the green wall.”"
"Havre, MT (Havre City-County, HVR) - Dino fossils were found near the runway during its 1940s construction."
"Hayden, CO (Yampa Valley, HDN) - Steamboat Springs skiers love it, and the runway’s nestled in a snowy valley."
"Hays, KS (Hays Regional, HYS) - It’s near a buffalo herd, and planes sometimes spook them on takeoff."
"Helena, MT (Helena Regional, HLN) - Gold Rush miners once landed here in bush planes, chasing Montana riches."
"Hibbing, MN (Range Regional, HIB) - Bob Dylan grew up nearby, and the airport has a guitar-shaped sign."
"Hilo, HI (Hilo International, ITO) - Lava from nearby Kilauea has threatened its runway multiple times."
"Hilton Head Island, SC (Hilton Head, HHH) - Golf carts outnumber taxis here, ferrying passengers to resorts."
"Hobbs, NM (Lea County Regional, HOB) - Oil rigs dot the view, and it’s a hub for energy workers’ charters."
"Homer, AK (Homer, HOM) - Bush planes land on a spit jutting into Kachemak Bay, a scenic oddity."
"Honolulu, HI (Daniel K. Inouye International, HNL) - Its runway “Reef Runway” was built on coral, a first for U.S. airports."
"Hoquiam, WA (Bowerman, HQM) - It’s so close to the Pacific, seagulls often outnumber planes."
"Hot Springs, AR (Memorial Field, HOT) - Its terminal has a hot spring fountain, tying it to the town’s spa fame."
"Houston, TX (William P. Hobby, HOU) - It’s where Howard Hughes tested planes, kickstarting Houston’s aviation legacy."
"Houston, TX (George Bush Intercontinental, IAH) - A 9-foot statue of Bush Sr. greets travelers, honoring his skydiving hobby."
"Huntington, WV (Tri-State, HTS) - It serves three states (WV, KY, OH), and its runway’s on a flattened hilltop."
"Huntsville, AL (Huntsville International, HSV) - NASA engineers land here, and the terminal has a Saturn V model."
"Huron, SD (Huron Regional, HON) - It’s near the world’s largest pheasant statue, a quirky local landmark."
"Hyannis, MA (Barnstable Municipal, HYA) - The Kennedy family flew out of this Cape Cod spot for vacations."
"Idaho Falls, ID (Idaho Falls Regional, IDA) - Its runway’s near a lava field from an ancient volcanic eruption."
"Indianapolis, IN (Indianapolis International, IND) - Its terminal has a racecar display, revving up Indy 500 vibes."
"Iron Mountain, MI (Ford, IMT) - Built by Henry Ford to ship timber, it’s got a vintage Ford Tri-Motor display."
"Islip, NY (Long Island MacArthur, ISP) - Named after a WWII general, it’s where the Grumman F-14 Tomcat was tested nearby."
"Ithaca, NY (Ithaca Tompkins International, ITH) - Cornell students use it, and the terminal has a gorges-inspired art piece."
"Jackson, MS (Jackson-Medgar Wiley Evers International, JAN) - Named after a civil rights icon, it’s got a freedom trail marker inside."
"Jackson, TN (McKellar-Sipes Regional, MKL) - Its runway was a WWII training spot for P-51 Mustang pilots."
"Jackson, WY (Jackson Hole, JAC) - Teton peaks tower over the runway, making it a jaw-dropping landing spot."
"Jacksonville, FL (Jacksonville International, JAX) - Its terminal has a live oak tree replica, echoing Florida’s natural vibe."
"Jacksonville, NC (Albert J. Ellis, OAJ) - Near Camp Lejeune, it’s a hub for Marine Corps families’ reunions."
"Jamestown, ND (Jamestown Regional, JMS) - Its tiny terminal has a buffalo skull, honoring the frontier past."
"Johnstown, PA (Johnstown-Cambria County, JST) - The runway’s near the 1889 flood site, a grim piece of local lore."
"Joplin, MO (Joplin Regional, JLN) - Rebuilt after a 2011 tornado, it’s a symbol of Missouri resilience."
"Juneau, AK (Juneau International, JNU) - Mountains hug the runway, so pilots need special training to land here."
"Kahului, HI (Kahului, OGG) - Its code “OGG” honors a local pilot, Bertram Hogg, who flew Hawaii’s first airmail."
"Kalamazoo, MI (Kalamazoo/Battle Creek International, AZO) - Its code “AZO” is a mystery, possibly from old railroad shorthand."
"Kalispell, MT (Glacier Park International, FCA) - It’s the gateway to Glacier National Park, with bear-proof trash cans outside."
"Kansas City, MO (Kansas City International, MCI) - Its code “MCI” comes from its old name, Mid-Continent International."
"Kearney, NE (Kearney Regional, EAR) - Near the Platte River, it’s a stopover for sandhill crane spotters."
"Kenai, AK (Kenai Municipal, ENA) - Fishermen land here with salmon hauls, and the runway’s near a volcano."
"Ketchikan, AK (Ketchikan International, KTN) - You ferry across water to reach it, as the runway’s on an island."
"Key West, FL (Key West International, EYW) - Its runway ends near the ocean, so planes skim over beachgoers."
"Killeen, TX (Killeen-Fort Hood Regional, GRK) - Near Fort Hood, it’s got a tank display from its Army base days."
"King Salmon, AK (King Salmon, AKN) - Bush pilots use it to reach Katmai, where bears outnumber people."
"Kinston, NC (Kinston Regional Jetport, ISO) - Its “jetport” name is ambitious—mostly small planes land here."
"Kirksville, MO (Kirksville Regional, IRK) - Near a Truman museum, it’s got a quirky sign shaped like a biplane."
"Klamath Falls, OR (Crater Lake-Klamath Regional, LMT) - WWII bombers trained here, and the runway’s near volcanic fields."
"Knoxville, TN (McGhee Tyson, TYS) - Named after a WWI pilot, it’s got a Smoky Mountains mural inside."
"Kodiak, AK (Kodiak, ADQ) - Its runway’s so short, pilots joke it’s like landing on a fishing boat."
"Kotzebue, AK (Ralph Wien Memorial, OTZ) - Named after a pilot lost in a 1930s crash, it’s above the Arctic Circle."
"La Crosse, WI (La Crosse Regional, LSE) - Its runway hugs the Mississippi, offering river bluff views."
"Lafayette, LA (Lafayette Regional, LFT) - Cajun music plays in the terminal, and there’s a gumbo stand."
"Lake Charles, LA (Lake Charles Regional, LCH) - Oil rigs glow offshore, visible from planes at night."
"Lansing, MI (Capital Region International, LAN) - Its terminal has a Model T exhibit, tying it to Michigan’s car roots."
"Laramie, WY (Laramie Regional, LAR) - At 7,284 feet, it’s one of the highest airports with regular flights."
"Laredo, TX (Laredo International, LRD) - Its runway’s so close to Mexico, you can see border towns on takeoff."
"Las Cruces, NM (Las Cruces International, LRU) - Near White Sands, it’s where test pilots land after missile runs."
"Las Vegas, NV (Harry Reid International, LAS) - Slot machines greet you at the gate, and it’s got the most TSA coin hauls."
"Latrobe, PA (Arnold Palmer Regional, LBE) - Named after the golfer, it’s got a putting green in the terminal."
"Lawton, OK (Lawton-Fort Sill Regional, LAW) - Near an Army base, it’s where Geronimo’s descendants still visit."
"Lebanon, NH (Lebanon Municipal, LEB) - Dartmouth students use it, and the runway’s near ski slopes."
"Lewisburg, WV (Greenbrier Valley, LWB) - Near a Cold War bunker, it’s a quiet spot with a secretive past."
"Lewiston, ID (Lewiston-Nez Perce County, LWS) - Its runway overlooks the Snake River, a Lewis and Clark route."
"Lexington, KY (Blue Grass, LEX) - Horse farm views greet landings, and the gift shop sells bourbon."
"Liberal, KS (Liberal Mid-America Regional, LBL) - Home to Dorothy’s House, it’s got a Wizard of Oz mural."
"Lihue, HI (Lihue, LIH) - Its open-air terminal lets Kauai’s trade winds cool waiting passengers."
"Lincoln, NE (Lincoln, LNK) - Cornhusker fans swarm it on game days, and the runway’s near old silos."
"Little Rock, AR (Bill and Hillary Clinton National, LIT) - Its old name, Adams Field, honors a pilot killed in a 1930s crash."
"Long Beach, CA (Long Beach, LGB) - Its Art Deco terminal is a film star, featured in La La Land."
"Longview, TX (East Texas Regional, GGG) - Its code “GGG” mimics the sound of oil pumps in the area."
"Los Angeles, CA (Los Angeles International, LAX) - The Theme Building’s UFO shape was a 1960s Space Age dream."
"Louisville, KY (Louisville Muhammad Ali International, SDF) - Its code “SDF” stands for Standiford Field, its original name."
"Lubbock, TX (Lubbock Preston Smith International, LBB) - Named after a Texas governor, it’s got a Buddy Holly guitar statue nearby."
"Lynchburg, VA (Lynchburg Regional, LYH) - The runway’s near Liberty University, and planes dodge student drone tests."
"Macon, GA (Middle Georgia Regional, MCN) - It was a WWII airbase where B-24 bombers trained for Europe."
"Madison, WI (Dane County Regional, MSN) - Its terminal has a Frank Lloyd Wright-inspired design, honoring the local architect."
"Manchester, NH (Manchester-Boston Regional, MHT) - Its runway was extended using gravel from the nearby Merrimack River."
"Manhattan, KS (Manhattan Regional, MHK) - K-State fans pack it for games, and the terminal has a Wildcat mural."
"Marathon, FL (Florida Keys Marathon, MTH) - Its tiny runway ends near the ocean, a favorite for private seaplane pilots."
"Marquette, MI (Marquette Sawyer Regional, SAW) - Near Lake Superior, it’s where iron ore once flew out in cargo planes."
"Martha’s Vineyard, MA (Martha’s Vineyard, MVY) - Summer crowds triple its size, and the runway’s near historic lighthouses."
"Mason City, IA (Mason City Municipal, MCW) - Buddy Holly’s last flight took off nearby, and there’s a memorial plaque."
"McAllen, TX (McAllen Miller International, MFE) - Its code “MFE” honors a local pilot, and citrus groves line the approach."
"Medford, OR (Rogue Valley International-Medford, MFR) - The runway’s near pear orchards, and the gift shop sells fruit jam."
"Melbourne, FL (Melbourne Orlando International, MLB) - Its name flip-flopped from Orlando-Melbourne to boost tourism."
"Memphis, TN (Memphis International, MEM) - Once the world’s busiest cargo airport, it’s FedEx’s global hub."
"Meridian, MS (Meridian Regional, MEI) - It’s where WWII pilots trained, and the terminal has a vintage propeller."
"Miami, FL (Miami International, MIA) - Its flamingo art nods to the Everglades, and it’s a salsa music hotspot."
"Midland, TX (Midland International Air and Space Port, MAF) - It’s FAA-certified for spaceflights, a rare claim for a regional hub."
"Milwaukee, WI (Milwaukee Mitchell International, MKE) - Its code “MKE” is a nod to its county, and there’s a beer tap in the terminal."
"Minneapolis, MN (Minneapolis-St. Paul International, MSP) - Its skyway links terminals, a lifesaver in Minnesota winters."
"Minot, ND (Minot International, MOT) - Its runway was a Cold War B-52 base, and old hangars still loom nearby."
"Missoula, MT (Missoula Montana, MSO) - The runway’s flanked by mountains, and grizzly tracks have been spotted nearby."
"Mobile, AL (Mobile Regional, MOB) - Mardi Gras floats roll near the airport during festival season."
"Modesto, CA (Modesto City-County, MOD) - Its runway was a WWII training strip for P-38 Lightning pilots."
"Moline, IL (Quad City International, MLI) - It serves four cities across two states, a rare regional mashup."
"Monroe, LA (Monroe Regional, MLU) - Its terminal has a duck decoy display, honoring the local hunting culture."
"Monterey, CA (Monterey Regional, MRY) - Sea otters swim near the runway’s end, visible on coastal approaches."
"Montgomery, AL (Montgomery Regional, MGM) - It’s near the Rosa Parks bus stop, and the terminal has a civil rights exhibit."
"Montrose, CO (Montrose Regional, MTJ) - Skiers land here for Telluride, and the runway’s at a dizzying 5,759 feet."
"Morgantown, WV (Morgantown Municipal, MGW) - WVU students use it, and the terminal has a Mountaineer mascot statue."
"Mosinee, WI (Central Wisconsin, CWA) - Its runway cuts through cranberry bogs, a colorful fall sight."
"Muscle Shoals, AL (Northwest Alabama Regional, MSL) - Near music studios, it’s where rock legends once landed for recordings."
"Muskegon, MI (Muskegon County, MKG) - Lake Michigan’s dunes frame the runway, a scenic pilot perk."
"Myrtle Beach, SC (Myrtle Beach International, MYR) - Golf bags clog the baggage claim, thanks to 100+ nearby courses."
"Nantucket, MA (Nantucket Memorial, ACK) - Its code “ACK” is a sailor’s nod, and fog often shrouds the runway."
"Nashville, TN (Nashville International, BNA) - Its code “BNA” comes from Berry Field, and live country music fills the gates."
"New Bern, NC (Coastal Carolina Regional, EWN) - Pepsi was invented nearby, and the gift shop sells vintage bottles."
"New Haven, CT (Tweed-New Haven, HVN) - Its runway’s so short, only small jets can land—pilot precision required."
"New Orleans, LA (Louis Armstrong New Orleans International, MSY) - Its code “MSY” honors Moisant Stock Yards, the site’s old name."
"New York, NY (John F. Kennedy International, JFK) - Its TWA Hotel has a 1950s plane turned cocktail bar."
"New York, NY (LaGuardia, LGA) - Named after Mayor Fiorello, it’s got a fountain he loved in the terminal."
"Newark, NJ (Newark Liberty International, EWR) - Its runway saw the first U.S. airmail flight in 1918."
"Newport News, VA (Newport News/Williamsburg International, PHF) - Its code “PHF” stands for Patrick Henry Field, a colonial nod."
"Niagara Falls, NY (Niagara Falls International, IAG) - Tourists land here for the falls, just a 10-minute drive away."
"Nome, AK (Nome, OME) - Iditarod mushers use it, and the runway’s near old gold rush trails."
"Norfolk, VA (Norfolk International, ORF) - Its terminal has a mermaid statue, a nod to local nautical lore."
"North Bend, OR (Southwest Oregon Regional, OTH) - Its runway’s so close to the Pacific, waves sometimes splash the tarmac."
"North Platte, NE (North Platte Regional, LBF) - Buffalo Bill’s ranch is nearby, and the terminal has a cowboy exhibit."
"Oakland, CA (Oakland International, OAK) - Its runway was a WWII staging ground for Pacific-bound troops."
"Ogdensburg, NY (Ogdensburg International, OGS) - Its “international” title comes from rare Canada hops across the St. Lawrence."
"Oklahoma City, OK (Will Rogers World, OKC) - Named after the humorist, it’s got a lasso sculpture in his honor."
"Olathe, KS (Johnson County Executive, OJC) - A small hub, it’s where barnstormers once dazzled crowds in the 1920s."
"Omaha, NE (Eppley Airfield, OMA) - Its runway was built with WWII bomber base concrete, still holding strong."
"Ontario, CA (Ontario International, ONT) - Its terminal has a citrus crate display, nodding to the region’s orange past."
"Orlando, FL (Orlando International, MCO) - Its code “MCO” comes from McCoy Air Force Base, pre-Disney days."
"Orlando, FL (Orlando Sanford International, SFB) - It’s a former Navy base where pilots trained for Vietnam War missions."
"Oshkosh, WI (Wittman Regional, OSH) - Home to the world’s biggest airshow, EAA AirVenture, every summer."
"Owensboro, KY (Owensboro-Daviess County, OWB) - Its terminal has a moonshine still replica, a nod to Kentucky’s past."
"Paducah, KY (Barkley Regional, PAH) - Named after a senator, it’s near where the Ohio and Tennessee Rivers meet."
"Page, AZ (Page Municipal, PGA) - Its runway overlooks Lake Powell, a stunning red-rock approach."
"Palm Springs, CA (Palm Springs International, PSP) - Its open-air terminal lets you sip coffee under desert stars."
"Panama City, FL (Northwest Florida Beaches International, ECP) - Its eco-friendly terminal uses solar power, a Gulf Coast first."
"Pasco, WA (Tri-Cities, PSC) - Near Hanford, it’s where nuclear workers flew in during the Manhattan Project."
